cert,rcon2200_total_deposits,riad4073_total_interest_expense,riad4079_total_noninterest_income,riad4093_total_noninterest_expense,riad4107_total_interest_income,riad4340_net_income,riad4135_salaries_and_employee_benefits,n_missing,riad4092_other_noninterest_expense,riad4518_other_interest_income,name,asset,age,roa,roe,offices,specialization,bank_class,riad3196_relzd_gains(loss)_on_avl-fr-sle_secs,rconk115_ln_rstr_secd_nonfarm_own_pd_90
10474,220151,1592,1688,6387,10815,3537,3701,250,2172,4,Citizens State Bank,258059,139.45205479452054,1.39,11.09,3,Agricultural  Specialization,NM,1,0
4773,154429,2128,197,2474,9014,1713,1426,252,806,17,The Solomon State Bank,198175,113.93972602739726,0.86,5.86,3,Mortgage Lending Specialization,NM,0,0
8183,48264,78,250,1461,1603,220,710,259,615,23,The Citizens State Bank of Ontonagon,55012,108.5041095890411,0.4,3.31,1,Other Specialized Lending < 1 Billion,SM,0,0
10916,91042,729,508,3128,5372,1342,1096,259,954,2,Stanley Bank,111820,114.43561643835616,1.21,6.53,1,Commercial Lending Specialization,NM,0,0
2453,129490,234,1063,4705,5608,1098,2314,259,1965,136,Davis Trust Company,145476,117.98082191780821,0.75,7.54,2,Commercial Lending Specialization,NM,-21,0
3063,151421,738,500,3667,6746,2294,2225,250,1125,11,First Pioneer National Bank,179192,116.94246575342466,1.28,9.66,2,Agricultural  Specialization,N,0,0
30637,200595,2041,451,4887,9043,1858,2868,259,1399,73,Greenville Savings Bank,240974,108.43287671232876,0.77,5.66,3,Mortgage Lending Specialization,SB,0,0
1376,272971,1681,1597,8617,12975,3135,4842,259,2688,0,Citizens Bank & Trust Company,321351,102.92054794520548,1.02,10.04,7,Commercial Lending Specialization,NM,0,0
9310,107680,605,948,4623,5163,955,2088,259,1659,29,Commercial Bank,139441,109.43287671232876,0.68,4.56,1,All Other Specialization  < 1 Billion,NM,72,0
12899,79550,216,732,2526,2788,687,1397,259,833,16,Mayville State Bank,88772,134.16164383561645,0.75,7.36,3,All Other Specialization  < 1 Billion,NM,-1,0
